state,county,name
AL,Conecuh,trump
AL,Bullock,clinton
AL,Greene,clinton
AL,Choctaw,trump
AL,Wilcox,clinton
AL,Pickens,trump
AL,Barbour,trump
AL,Henry,trump
AL,Cleburne,trump
AL,Monroe,trump
AL,Coosa,trump
AL,Limestone,trump
AL,Tuscaloosa,trump
AL,Geneva,trump
AL,Talladega,trump
AL,DeKalb,trump
AL,Clay,trump
AL,Calhoun,trump
AL,Clarke,trump
AL,Elmore,trump
AL,Marshall,trump
AL,Houston,trump
AL,Crenshaw,trump
AL,Autauga,trump
AL,Lee,trump
AL,Cullman,trump
AL,Etowah,trump
AL,Dale,trump
AL,Hale,clinton
AL,Morgan,trump
AL,Lauderdale,trump
AL,Mobile,trump
AL,Bibb,trump
AL,Jefferson,clinton
AL,Fayette,trump
AL,Russell,clinton
AL,Walker,trump
AL,Pike,trump
AL,Madison,trump
AL,Marengo,clinton
AL,Shelby,trump
AL,Montgomery,clinton
AL,Macon,clinton
AL,Coffee,trump
AL,Butler,trump
AL,Colbert,trump
AL,Jackson,trump
AL,Chilton,trump
AL,Tallapoosa,trump
AL,Covington,trump
AL,Lowndes,clinton
AL,Dallas,clinton
AL,Lamar,trump
AL,Sumter,clinton
AL,Marion,trump
AL,Blount,trump
AL,Winston,trump
AL,Lawrence,trump
AL,Baldwin,trump
AL,Escambia,trump
AL,Perry,clinton
AL,Franklin,trump
AL,Cherokee,trump
AL,Washington,trump
AL,Chambers,trump
AL,Randolph,trump
AL,St.Clair,trump
AK,NA,trump
AZ,Greenlee,trump
AZ,LaPaz,trump
AZ,Navajo,trump
AZ,Yavapai,trump
AZ,Coconino,clinton
AZ,Gila,trump
AZ,Pima,clinton
AZ,Pinal,trump
AZ,Mohave,trump
AZ,Graham,trump
AZ,Apache,clinton
AZ,Santa Cruz,clinton
AZ,Cochise,trump
AZ,Yuma,trump
AZ,Maricopa,trump
AR,Monroe,trump
AR,Calhoun,trump
AR,Lee,clinton
AR,Bradley,trump
AR,Desha,clinton
AR,Lincoln,trump
AR,Cleveland,trump
AR,Prairie,trump
AR,Montgomery,trump
AR,Lafayette,trump
AR,Newton,trump
AR,Searcy,trump
AR,Perry,trump
AR,Pike,trump
AR,Howard,trump
AR,Jackson,trump
AR,Fulton,trump
AR,Little River,trump
AR,Clay,trump
AR,Arkansas,trump
AR,St.Francis,clinton
AR,Izard,trump
AR,Stone,trump
AR,Hempstead,trump
AR,Randolph,trump
AR,Cross,trump
AR,Madison,trump
AR,Franklin,trump
AR,Marion,trump
AR,Ashley,trump
AR,Columbia,trump
AR,Chicot,clinton
AR,Logan,trump
AR,Craighead,trump
AR,Johnson,trump
AR,Union,trump
AR,Saline,trump
AR,Nevada,trump
AR,Yell,trump
AR,White,trump
AR,Grant,trump
AR,Mississippi,trump
AR,Crawford,trump
AR,Pulaski,clinton
AR,Scott,trump
AR,Drew,trump
AR,Ouachita,trump
AR,Washington,trump
AR,Lawrence,trump
AR,Benton,trump
AR,Garland,trump
AR,Sevier,trump
AR,Sebastian,trump
AR,Crittenden,clinton
AR,Clark,trump
AR,Conway,trump
AR,Faulkner,trump
AR,Jefferson,clinton
AR,Independence,trump
AR,Baxter,trump
AR,Lonoke,trump
AR,Woodruff,trump
AR,Pope,trump
AR,Sharp,trump
AR,Poinsett,trump
AR,Dallas,trump
AR,Greene,trump
AR,Miller,trump
AR,Phillips,clinton
AR,Boone,trump
AR,Cleburne,trump
AR,Van Buren,trump
AR,Hot Spring,trump
AR,Carroll,trump
AR,Polk,trump
CA,Alpine,clinton
CA,Modoc,trump
CA,Trinity,trump
CA,Inyo,trump
CA,Del Norte,trump
CA,Mariposa,trump
CA,Plumas,trump
CA,Sutter,trump
CA,Mendocino,clinton
CA,Lassen,trump
CA,Nevada,clinton
CA,Kings,trump
CA,Tehama,trump
CA,Imperial,clinton
CA,Yolo,clinton
CA,Merced,clinton
CA,Humboldt,clinton
CA,Santa Cruz,clinton
CA,Sacramento,clinton
CA,San Mateo,clinton
CA,Kern,trump
CA,Fresno,clinton
CA,Sonoma,clinton
CA,Ventura,clinton
CA,San Joaquin,clinton
CA,El Dorado,trump
CA,Santa Barbara,clinton
CA,Marin,clinton
CA,Glenn,trump
CA,San Francisco,clinton
CA,Riverside,clinton
CA,Madera,trump
CA,Contra Costa,clinton
CA,Monterey,clinton
CA,Alameda,clinton
CA,Mono,clinton
CA,Napa,clinton
CA,Los Angeles,clinton
CA,Tulare,trump
CA,Orange,clinton
CA,Solano,clinton
CA,Shasta,trump
CA,Santa Clara,clinton
CA,Placer,trump
CA,Butte,trump
CA,Tuolumne,trump
CA,Sierra,trump
CA,Calaveras,trump
CA,San Luis Obispo,clinton
CA,Lake,clinton
CA,Siskiyou,trump
CA,Yuba,trump
CA,Amador,trump
CA,San Diego,clinton
CA,Colusa,trump
CA,San Bernardino,clinton
CA,San Benito,clinton
CA,Stanislaus,clinton
CO,San Juan,clinton
